"name","Provider","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","Link","Price_AMD","Price_USD"
"Guest House at Aygestana","Booking.com",3,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d8651814-Reviews-Guest_House_at_Aygestana-Yerevan.html",12500,26
"Shree Gopal Gayatri Lok","Booking.com",1,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15104501-Reviews-Shree_Gopal_Gayatri_Lok-Yerevan.html",8158,17
"Ibiza Hotel & Sauna","Booking.com",8,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d7380773-Reviews-Ibiza_Hotel_Sauna-Yerevan.html",16667,34
"ArtEast Hostel","Booking.com",2,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15014443-Reviews-ArtEast_Hostel-Yerevan.html",9990,21
"Shirak Hotel","Booking.com",166,"1","1","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d308341-Reviews-Shirak_Hotel-Yerevan.html",23333,48
"Guest House West Yerevan","Booking.com",5,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10502794-Reviews-Guest_House_West_Yerevan-Yerevan.html",9908,20
"Hotel For You","Booking.com",3,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12504246-Reviews-Hotel_For_You-Yerevan.html",12492,26
"Mini Hostel Tigranyan 5","Booking.com",4,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10454255-Reviews-Mini_Hostel_Tigranyan_5-Yerevan.html",7990,17
"Aquatek Resort and SPA","Booking.com",35,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d2288712-Reviews-Aquatek_Resort_and_SPA-Yerevan.html",24148,50
"Valensia Hotel","Booking.com",21,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d308343-Reviews-Valensia_Hotel-Yerevan.html",18030,37
"RIS Dalma Collection Yerevan","Booking.com",3,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14189004-Reviews-RIS_Dalma_Collection_Yerevan-Yerevan.html",40000,83
"Kesabella Touristic House","Booking.com",5,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d7059740-Reviews-Kesabella_Touristic_House-Yerevan.html",13889,29
"Guest House 1","Booking.com",5,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12928426-Reviews-Guest_House_1-Yerevan.html",8325,17
"Your Hostel by Picnic","Booking.com",4,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10440459-Reviews-Your_Hostel_by_Picnic-Yerevan.html",11700,24
"Villa Rosa","Expedia.com",14,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d6215394-Reviews-Villa_Rosa-Yerevan.html",17454,36
"Light Wings Guesthouse","Booking.com",2,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15022975-Reviews-Light_Wings_Guesthouse-Yerevan.html",12492,26
"Welcome City Center Apartments","Booking.com",1,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15631678-Reviews-Welcome_City_Center_Apartments-Yerevan.html",14408,30
"Homey Guesthouse","Booking.com",1,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12842060-Reviews-Homey_Guesthouse-Yerevan.html",11990,25
"Votre Maison","Booking.com",3,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12989669-Reviews-Votre_Maison-Yerevan.html",16667,34
"Gyumri Hotel","Booking.com",2,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d4288842-Reviews-Gyumri_Hotel-Yerevan.html",18333,38
"Holiday Hotel & Hostel By Picnic","Booking.com",5,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10515454-Reviews-Holiday_Hotel_Hostel_By_Picnic-Yerevan.html",19000,39
"Guest House on Baghramyan","Booking.com",1,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12500758-Reviews-Guest_House_on_Baghramyan-Yerevan.html",13325,28
"Hostel Glass Tower","Booking.com",3,"1","1","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10151429-Reviews-Hostel_Glass_Tower-Yerevan.html",18083,37
"Metro Aparthotel","Booking.com",1,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d11760668-Reviews-Metro_Aparthotel-Yerevan.html",12742,26
"Freedom Armenia","Booking.com",7,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d13085428-Reviews-Freedom_Armenia-Yerevan.html",12742,26
"ApartHotel Arshakunyants","Booking.com",1,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d11622406-Reviews-ApartHotel_Arshakunyants-Yerevan.html",11667,24
"Hotel Lilia Yerevan","Booking.com",7,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12011121-Reviews-Hotel_Lilia_Yerevan-Yerevan.html",21242,44
"AnnaBella Boutique Hotel","Booking.com",1,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15618621-Reviews-AnnaBella_Boutique_Hotel-Yerevan.html",20833,43
"City Centre Apartments","Booking.com",2,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12594723-Reviews-City_Centre_Apartments-Yerevan.html",19835,41
"Yere1 Hotel & Hostel","Booking.com",1,"0","1","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15656614-Reviews-Yere1_Hotel_Hostel-Yerevan.html",9989,21
"Hostel Liberal","Booking.com",1,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12906838-Reviews-Hostel_Liberal-Yerevan.html",12000,25
"Family Hotel Nigatun","Booking.com",3,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10681844-Reviews-Family_Hotel_Nigatun-Yerevan.html",18490,38
"Venice Hotel","Booking.com",3,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d9799421-Reviews-Venice_Hotel-Yerevan.html",22500,46
"Guesthouse Martirosyan's","Booking.com",2,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d8521896-Reviews-Guesthouse_Martirosyan_s-Yerevan.html",22500,46
"Argavand Hotel & Restaurant Complex","Booking.com",2,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d7930468-Reviews-Argavand_Hotel_Restaurant_Complex-Yerevan.html",8333,17
"Balcon Boutique Hotel","Booking.com",7,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12462488-Reviews-Balcon_Boutique_Hotel-Yerevan.html",20825,43
"Inter Hostel","Booking.com",19,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d8336389-Reviews-Inter_Hostel-Yerevan.html",9000,19
"Sakharov Hostel","Booking.com",10,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10544121-Reviews-Sakharov_Hostel-Yerevan.html",8325,17
"Eridana Hotel","Booking.com",2,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d8733082-Reviews-Eridana_Hotel-Yerevan.html",6667,14
"Art Guesthouse Yerevan","Booking.com",2,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12269676-Reviews-Art_Guesthouse_Yerevan-Yerevan.html",10825,22
"Station Hostel","Booking.com",2,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12668957-Reviews-Station_Hostel-Yerevan.html",6658,14
"Apartaments Tigran Petrosyan 39/5","Booking.com",4,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10102091-Reviews-Apartaments_Tigran_Petrosyan_39_5-Yerevan.html",8600,18
"Yerevan Apartment at Tpagrichner","Agoda.com",2,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d9995685-Reviews-Yerevan_Apartment_at_Tpagrichner-Yerevan.html",19939,41
"Tsghotner","Booking.com",1,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d9771458-Reviews-Tsghotner-Yerevan.html",29167,60
"Granada Hotel","Booking.com",15,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d8516876-Reviews-Granada_Hotel-Yerevan.html",10667,22
"Best Hostel Republic Square","Booking.com",8,"1","0","0","0","0","0","1","https://www.tripadvisor.com/Hotel_Review-g293932-d10671718-Reviews-Best_Hostel_Republic_Square-Yerevan.html",9992,21
"Caucasus Wildlife Refuge","Booking.com",1,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d7806536-Reviews-Caucasus_Wildlife_Refuge-Yerevan.html",25000,52
"Moscow House Hotel","Booking.com",2,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d1236230-Reviews-Moscow_House_Hotel-Yerevan.html",21250,44
"Bloor Hotel","Booking.com",1,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d13951764-Reviews-Bloor_Hotel-Yerevan.html",13990,29
"Musa Ler Hotel","Booking.com",3,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d13073612-Reviews-Musa_Ler_Hotel-Yerevan.html",16190,33
"Fortune","Booking.com",1,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10817039-Reviews-Fortune-Yerevan.html",7492,15
"Palma Hotel","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d8343641-Reviews-Palma_Hotel-Yerevan.html",15000,31
"Gallery Apartments","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15828428-Reviews-Gallery_Apartments-Yerevan.html",17242,36
"Grand Hills Hotel","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15220773-Reviews-Grand_Hills_Hotel-Yerevan.html",35000,72
"Urartu Complex","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15415630-Reviews-Urartu_Complex-Yerevan.html",6742,14
"Nork Residence Hotel","Booking.com",32,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d1818280-Reviews-Nork_Residence_Hotel-Yerevan.html",14625,30
"Adamyan 11 Hostel","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15232919-Reviews-Adamyan_11_Hostel-Yerevan.html",9990,21
"Alex Hotel","Expedia.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14802782-Reviews-Alex_Hotel-Yerevan.html",12464,26
"Apartment and Tours","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15809685-Reviews-Apartment_and_Tours-Yerevan.html",12492,26
"Apartment In The Center Of Yerevan","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15801733-Reviews-Apartment_In_The_Center_Of_Yerevan-Yerevan.html",24992,52
"Apartments","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16645651-Reviews-Apartments-Yerevan.html",33325,69
"Druzhba Hostel","Booking.com",1,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10235677-Reviews-Druzhba_Hostel-Yerevan.html",4992,10
"Baxos Hotel","Hotels.com",11,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d8262842-Reviews-Baxos_Hotel-Yerevan.html",19911,41
"Hotel Bastille","Hotels.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12682451-Reviews-Hotel_Bastille-Yerevan.html",19911,41
"Ani Hostel","Booking.com",7,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d13295220-Reviews-Ani_Hostel-Yerevan.html",9989,21
"Voyage Hotel","Booking.com",1,"1","0","0","0","0","0","1","https://www.tripadvisor.com/Hotel_Review-g293932-d8043455-Reviews-Voyage_Hotel-Yerevan.html",47619,98
"DDD Hotel","Booking.com",10,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d2442931-Reviews-DDD_Hotel-Yerevan.html",15990,33
"Tatev Apartments","Booking.com",1,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12518196-Reviews-Tatev_Apartments-Yerevan.html",25000,52
"Old Yerevan Hostel and Tours","Booking.com",7,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d11707421-Reviews-Old_Yerevan_Hostel_and_Tours-Yerevan.html",8325,17
"Bella Hotel","Expedia.com",4,"1","0","0","0","0","0","1","https://www.tripadvisor.com/Hotel_Review-g293932-d6635845-Reviews-Bella_Hotel-Yerevan.html",12469,26
"Alik Apartments on Abovyan 16","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16744668-Reviews-Alik_Apartments_on_Abovyan_16-Yerevan.html",33325,69
"Art Guesthouse Qanaqer","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12381405-Reviews-Art_Guesthouse_Qanaqer-Yerevan.html",6658,14
"Bitlis","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14174703-Reviews-Bitlis-Yerevan.html",24992,52
"Central Apartments By Ris","Agoda.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15295424-Reviews-Central_Apartments_By_Ris-Yerevan.html",12469,26
"Centrium","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d13372780-Reviews-Centrium-Yerevan.html",10825,22
"Charents Street Apartments","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15857255-Reviews-Charents_Street_Apartments-Yerevan.html",25000,52
"Comfortable Apartment Near The Republic Square","Agoda.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15779348-Reviews-Comfortable_Apartment_Near_The_Republic_Square-Yerevan.html",48203,100
"The Doctor's House B&B","Booking.com",0,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12319090-Reviews-The_Doctor_s_House_B_B-Yerevan.html",12492,26
"Dom","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14966245-Reviews-Dom-Yerevan.html",19990,41
"A. FA Hotel","Expedia.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16856272-Reviews-A_FA_Hotel-Yerevan.html",17417,36
"Freedom Apartments On Arami street","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15885751-Reviews-Freedom_Apartments_On_Arami_street-Yerevan.html",43000,89
"Garni Hinyard","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15232085-Reviews-Garni_Hinyard-Yerevan.html",25833,53
"Georgia Hotel","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d9786922-Reviews-Georgia_Hotel-Yerevan.html",11667,24
"Green Hostel","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15128173-Reviews-Green_Hostel-Yerevan.html",6658,14
"Guest House","Agoda.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12852733-Reviews-Guest_House-Yerevan.html",9965,21
"Avan Plaza","Expedia.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10205943-Reviews-Avan_Plaza-Yerevan.html",187020,386
"Guest House Myasnikyan","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15086527-Reviews-Guest_House_Myasnikyan-Yerevan.html",8000,17
"Guesthouse Na Ulice Orbeli","Booking.com",0,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10544194-Reviews-Guesthouse_Na_Ulice_Orbeli-Yerevan.html",5825,12
"Happy Camper Hostel","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15527260-Reviews-Happy_Camper_Hostel-Yerevan.html",7990,17
"The Highway Hostel","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15074575-Reviews-The_Highway_Hostel-Yerevan.html",4158,9
"Homestay on Sose 17","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12385341-Reviews-Homestay_on_Sose_17-Yerevan.html",14990,31
"HosTales","Agoda.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15321450-Reviews-HosTales-Yerevan.html",11639,24
"Hostel 5x5","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15743168-Reviews-Hostel_5x5-Yerevan.html",13490,28
"Hostel de Maria","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12536159-Reviews-Hostel_de_Maria-Yerevan.html",8992,19
"Hostel Golden Trip","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15221280-Reviews-Hostel_Golden_Trip-Yerevan.html",13990,29
"Hostel in Yerevan","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14888373-Reviews-Hostel_in_Yerevan-Yerevan.html",4942,10
"Hostel Jaguar","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16746062-Reviews-Hostel_Jaguar-Yerevan.html",6990,14
"Hostel Magnolia","Expedia.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15190076-Reviews-Hostel_Magnolia-Yerevan.html",10825,22
"Hotel Enjoy","Booking.com",0,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12428417-Reviews-Hotel_Enjoy-Yerevan.html",12492,26
"Hotel King","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10451796-Reviews-Hotel_King-Yerevan.html",14992,31
"Inga Hotel Yerevan","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15219439-Reviews-Inga_Hotel_Yerevan-Yerevan.html",14992,31
"Kamurj Apart Hotel","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d11768914-Reviews-Kamurj_Apart_Hotel-Yerevan.html",26242,54
"Karinitas Family Hostel","Booking.com",0,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10891048-Reviews-Karinitas_Family_Hostel-Yerevan.html",6658,14
"Karson Apartments","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16720613-Reviews-Karson_Apartments-Yerevan.html",20000,41
"KAV Guest House","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16707999-Reviews-KAV_Guest_House-Yerevan.html",9992,21
"Kond guest house","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14905575-Reviews-Kond_guest_house-Yerevan.html",12492,26
"Little Manila Hostel & Tours","Booking.com",0,"1","1","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d11981746-Reviews-Little_Manila_Hostel_Tours-Yerevan.html",14158,29
"Lotus Hostel","Agoda.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16812966-Reviews-Lotus_Hostel-Yerevan.html",16944,35
"Lovely Hotel","Expedia.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16858972-Reviews-Lovely_Hotel-Yerevan.html",10000,21
"Luxe Proshyan Str","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10630717-Reviews-Luxe_Proshyan_Str-Yerevan.html",66490,137
"Midnight","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15584691-Reviews-Midnight-Yerevan.html",9091,19
"Mirage Guest House","Expedia.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15226237-Reviews-Mirage_Guest_House-Yerevan.html",6250,13
"Motel Eforea","Expedia.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d9463268-Reviews-Motel_Eforea-Yerevan.html",62337,129
"New-Regence","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10030882-Reviews-New_Regence-Yerevan.html",10833,22
"Noy Hostel Yerevan","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d13359376-Reviews-Noy_Hostel_Yerevan-Yerevan.html",4992,10
"Shamrock Hostel","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d13446727-Reviews-Shamrock_Hostel-Yerevan.html",1179,2
"R&K","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14002102-Reviews-R_K-Yerevan.html",7990,17
